QN1,Qn2,QN3,QN4,QN5,QN6,QN7,QN8
business model canvas and how to acquire and retain customers.,"I think for the case of mobilisation skills to engage more with partners before, so as to increase relationship with them and trust.",Am comfortable to facilitate all the modules,"first survey to understand my beneficiaries their business and ,level of understanding in digital business.... and the last survey after the training.","First is to find partnership with other Non organisations those deals with youth who are having businesses, and also to have direct conversation with business women and men about the training we provide to them with benefits to raise up their businesses.","Lack of introduction letter ,many of non organisations and also the government ask for letter so as to introduce us to our beneficiaries.","I think full prepared introduction letter, posters that describe DOT and the project and also banner of Dot.","Earlier preparation for the case of partners and introduction letters, and also case of modules to do translation within a shorter period of time we might find ourselves give different meanings due to the level of understanding and translation to swahili."
21st century skills and facilitation and employment,In facilitation skills I need to practise more about ways of realising and managing risk or challenge during facilitation.,Underserved and new customer niches,I am not sure,Google form and friends,People asking about transport allowance because they stay far from the venue,Transport allowance,I need an identification letter
Innovative customer niches,Monitoring and Evaluation,Inventory management using an app,"Two surveys pre and post facilitation, with a total of not less than 400 surveys",My social media accounts and word of mouth to my close friends for referral,"Not having a centre yet people are eager to start learning, letter from TAMISEMI to RC office then regional youth officer there has been a struggle through this process and I can't reach some of the youth groups because of this",A letter from TAMISEMI to reach youth office so that the office can allocate me to those youth groups,"Training modules are in English, it will be better if I will I will have them in swahili and please send us our bags with hardcopies of training manuals"
Understandind the NICHE session,I need to practice more on approaches to mobilize participants as well as evaluate their understanding and growth within the program.,N/A,,"Through Local leaders, through google forms, through friends and through my social media accounts.",Unavailability of venue,Help me with partners who can provide Venues for facilitation,"Yes, it's very comfortable working with my fellow young people, you are doing a great job. Congratulations"
Facilitation training and content design,Safeguarding,All,Four,"Using Google forms, Facebook, Whatsapp, physical visiting and Instagram","1. Permission documents from government to starting training,",I would like to have government permission,"I would like to thanks you guys for support, love you shown us, God bless you"
Business model canvas,Evaluation,Innovating your customer Niches,Not sure,Reaching people in n their work places and advertising on social medias,"Time, distance and government policy of re allocation business to specific markets",More advertising on social media and mass media if possible in order to inclease awareness.,I would like to ask permission of recruiting more beneficialies who will delay for two or three days instead of taking them to next cohort as currently in our region there is re allocation of business premise in different places so people are making follow up on new places for putting their businesses.
Practical training in groups,More practice to effectively deliver,None,No,"Google forms, posting on social media, face to face",None,None,None
"The entire training was great, but the part of training I enjoyed the most was how you can get, keep and grow customers via social media.",,I feel comfortable to facilitate all modules.,"They will be required to fill out three surveys which are baseline, review and outcomes surveys.","I will use the following techniques to find people : 1. Social media - By posting posters and using different people (inner circle) to re-post so as to create awareness as digital business is concern as well as to provide a platform where those who are interested with can fill their required information. 2. Social gatherings and places of worship : I will use them to advertise what I intent to do which in turn will create awareness and find more people to join training. 3. Collaborate with local leaders, community development officers and partners to secure more people.",Lack of legal permit to mobilize people and conduct training.,Provide us with legal permit from TAMISEMI which will help us (Community Leaders) to collaborate with local government in securing more beneficiaries and conduct our training smoothly as well as financial support during mobilization period.,For the next intake it will be better if you will expand the reach by providing these training to the people who are living in the rural areas.
Facilitation skills and experiential learning,How to facilitate a large group of people and how to control or eliminate social media scam and be safe on digital platforms.,Product design and innovation,Yes,"I use organisation like universities, I mobilize individuals and look around in NGOS that might need our help interns of facilitation","They ask about payment
 Venues too far from their residence 
 Time not favourable to some
 Meeting threshold of 70 percent women since men are more interested than them interns of percentage and desire","Special letters to other NGOS in my region
 Venue addition atleat to five venues in different districts.
 Check on partners on what is going on
 Allo flexibility in terms of time",Yes. There is an organisation here in Mwanza that opted to provide transport fees to the participants they found for us and offered a venue inspire of not being partners if you can officially reach out it might bring huge impact
"When tutor help me to know my strengths and dependable skill, that increase my confidence and feel like i can do more than what i do now.",M&E I will learn more using digital tools and Mobilization i will be more interactive with beneficiaries,I can facilitate all module.,3,"Google forms, Social media and telling friends","People keep asking if we can provide any support during training like water, money or something apart from certificate",TAMISEMI Introduction letter,"Although there are many challenges we are going through now, we promise we can do our best to reach the DOT GOAL ."
Business model Canvas,General Knowledge on monitoring and evaluation. And how to relate on my carriers as community leader.,Product innovation,3,Face to face mobilization.,"Participants needs money for transport.
 Also they complain on time for facilitating that is too long for business people.",Due to allocation of business place in mwanza by government order. I ask Dot to allow me accepting Beneficiary at the middle of training. Please,Morovian kigoto compassion partner are real supportive. AND also I have get Beneficiary from Geita and willing to be facilitate. Hopefully we will arrange with mwanza team to go Geita.
